	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
559	559	44.533592224121094	1750.1883544921875	1953.2353515625	0.03334605321288109	95.56623077392578	41.83525085449219	203.12222290039062	199.72140502929688	69.04826354980469	65.64744567871094	8.982908248901367	8.893412590026855	5.45464563369751	5.365150451660156	45.385040283203125	19880.126953125	3.622725009918213	3122483.5	4598464.0	103646.3359375	9132.9033203125	3585280	14.234694480895996	0.4746708571910858	0.00952843978881836	42	43	4257343411619081480	0.10697999999999996	0.99928	0.8923	0.0031622776601683794	6	10	3	25000	1590953310193094386	True	True	True
560	560	45.79292297363281	1993.068603515625	2236.74169921875	0.030133534222841263	104.49143981933594	44.6437873840332	209.14466857910156	205.64254760742188	71.13424682617188	67.63213348388672	9.141393661499023	9.049232482910156	5.50954008102417	5.417379379272461	50.567901611328125	25218.400390625	3.160493850708008	4338837.5	6525043.5	138053.015625	10918.4609375	5157330	12.52265739440918	0.37735193967819214	0.00723926742553711	42	42	9104801047045802630	0.10522000000000009	0.99972	0.8945	0.0031622776601683794	6	12	0	25000	1590953327219474399	True	True	True
561	561	44.658138275146484	1998.2689208984375	2272.3193359375	0.032526642084121704	104.75811767578125	44.701995849609375	209.41921997070312	205.9935302734375	70.97515106201172	67.54945373535156	9.148618698120117	9.058467864990234	5.505352973937988	5.415203094482422	50.567901611328125	25284.1484375	3.54325270652771	4406839.0	6596200.0	138758.46875	10974.2646484375	5157330	12.6796236038208	0.41242557764053345	0.00882354232788086	42	38	9104801047045802630	0.10824	0.99944	0.8912	0.0031622776601683794	6	12	1	25000	1590953344511027838	True	True	True
562	562	44.186302185058594	1987.7064208984375	2315.77587890625	0.03306287154555321	105.0193099975586	44.583702087402344	209.929443359375	206.5200958251953	70.90381622314453	67.49446868896484	9.162044525146484	9.072325706481934	5.503476142883301	5.413756370544434	49.19196701049805	24466.873046875	3.441293954849243	4407723.5	6610308.5	135657.3125	11029.056640625	5157330	14.241799354553223	0.4708748161792755	0.008731532592773438	42	34	9104801047045802630	0.10141999999999995	0.99952	0.8981	0.0031622776601683794	6	12	3	25000	1590953372969789954	True	True	True
563	563	45.39917755126953	2023.3509521484375	2264.445556640625	0.03513459488749504	104.53556060791016	44.98167037963867	209.36997985839844	206.0214080810547	70.96585845947266	67.6172866821289	9.147322654724121	9.059202194213867	5.505108833312988	5.416988372802734	50.567901611328125	25601.23828125	3.54325270652771	4423206.0	6591079.0	138169.59375	10927.68359375	5157330	12.881664276123047	0.45259204506874084	0.009998341064453124	42	40	9104801047045802630	0.10746	0.99896	0.8915	0.0031622776601683794	6	12	2	25000	1590953373318352640	True	True	True
564	564	46.059722900390625	2257.931884765625	2559.81982421875	0.0331757515668869	112.754150390625	47.5177001953125	214.72164916992188	211.3157196044922	72.85362243652344	69.44768524169922	9.288156509399414	9.198526382446289	5.554786682128906	5.465156555175781	50.567901611328125	28566.806640625	3.160493850708008	5806709.0	8828454.0	160745.828125	12713.501953125	7014380	12.768324851989746	0.4235987961292267	0.009798086853027344	42	35	-1387408628579219748	0.10936000000000001	0.99916	0.8898	0.0031622776601683794	6	14	0	25000	1590953396396025678	True	True	True
565	565	45.11582946777344	2069.48095703125	2292.01416015625	0.03330967575311661	105.31437683105469	45.49155044555664	209.5973663330078	206.19546508789062	71.10073852539062	67.6988296508789	9.15330696105957	9.063782691955566	5.508658409118652	5.419134140014648	49.19196701049805	25472.537109375	3.2273807525634766	4372655.5	6530716.5	136420.5625	11091.119140625	5157330	12.423649787902832	0.4138277471065521	0.009713570098876953	42	36	9104801047045802630	0.1119	0.999	0.8871	0.0031622776601683794	6	12	4	25000	1590953396470135311	True	True	True
566	566	45.36451721191406	2256.501953125	2603.15625	0.03579970821738243	113.14422607421875	47.50265884399414	214.69564819335938	211.36582946777344	72.44454193115234	69.1147232055664	9.287471771240234	9.199844360351562	5.5440216064453125	5.456394672393799	50.567901611328125	28548.740234375	3.138659715652466	5834944.5	8869886.0	161859.8125	12801.6171875	7014380	12.188039779663086	0.436328262090683	0.009505269470214843	42	33	-1387408628579219748	0.10477999999999998	0.99948	0.8947	0.0031622776601683794	6	14	1	25000	1590953414048597664	True	True	True
567	567	46.002235412597656	2455.35888671875	2833.905029296875	0.03504011407494545	120.24202728271484	49.55157470703125	218.83456420898438	215.48330688476562	73.76883697509766	70.41757202148438	9.396390914916992	9.308198928833008	5.578871250152588	5.49068021774292	53.498775482177734	32861.7890625	2.8365650177001953	7465684.5	11512624.0	193395.375	14458.1484375	9156430	11.208590507507324	0.39275026321411133	0.00999445297241211	42	36	-8222782743208611225	0.10221999999999998	0.99932	0.8971	0.0031622776601683794	6	16	0	25000	1590953423129149071	True	True	True
568	568	45.6418571472168	2203.2861328125	2554.51806640625	0.033314481377601624	112.60466766357422	46.93917465209961	214.4278564453125	211.02609252929688	72.51136779785156	69.10960388183594	9.280424118041992	9.19090461730957	5.545780181884766	5.456259727478027	50.567901611328125	27875.9765625	3.138659715652466	5819684.5	8879575.0	160319.953125	12679.814453125	7014380	12.261384963989258	0.4084816873073578	0.009567472686767577	42	36	-1387408628579219748	0.1024799999999999	0.99928	0.8968	0.0031622776601683794	6	14	2	25000	1590953431279552392	True	True	True
