	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
368	368	0.003162	8	5	82.0604	40.635	166.758	8.67693	6733.91	30.0061	1856430	56.4464	5.22969	1651.2	1533.47	37.2765	92714.9	22750.6	55.0607	2.57612e+06	1.92621e+06	7.33865	0.0299097	163.249	8.56725	52.9368	5.12001	0.897473	9093518227723985452	0.00975747	42	0	12500	56	0.37684	0.621	0.99784	1590114570389237623	True	True	True
370	370	0.01	8	2	72.8254	53.5127	77.5945	8.18152	5303.54	428.609	531030	28.4084	4.66823	2863.61	799.572	38.6239	77449.1	41828.1	58.397	702240	620806	8.46281	0.0480829	74.5597	7.96475	25.3735	4.45145	20.6087	-5783648748449743143	0.00981843	42	0	12500	32	0.3403	0.6597	1	1590114030146733394	True	True	True
372	372	0.001	14	3	107.561	61.6067	120.791	9.03527	11569.3	629.782	2962430	39.9607	4.99377	3795.38	2624.73	28.7477	233388	76578.8	80.6845	3.70605e+06	2.88268e+06	6.75472	0.0325004	117.364	8.86394	36.5342	4.82244	20.4682	8472726851279803983	0.00819868	42	0	12500	27	0.4247	0.5753	1	1590115292715987984	True	True	True
373	373	0.00631	12	5	93.6788	43.8395	173.703	8.89395	8775.73	16.542	4164630	60.0013	5.34077	1921.9	1661.1	41.373	124400	27260.6	56.692	5.67054e+06	4.09433e+06	7.33865	0.0353726	170.361	8.78952	56.6595	5.23634	0.585134	-8815328846251384062	0.00821326	42	2	12500	38	0.35706	0.6419	0.99896	1590115057964265266	True	True	True
374	374	0.001585	12	3	97.1399	54.9399	117.38	8.86472	9436.16	466.714	2179230	39.0666	4.94906	3018.4	2137.25	28.3448	177674	56848.3	75.3071	2.837e+06	2.21779e+06	7.18577	0.0354668	114.041	8.69777	35.7275	4.78211	16.5528	7096428205270475247	0.00784519	42	0	12500	24	0.4154	0.5846	1	1590114932608148533	True	True	True
375	375	0.00631	12	5	93.6799	43.9028	173.811	8.89733	8775.93	17.0235	4164630	59.8408	5.33576	1927.46	1673.21	40.3839	124403	27339.3	56.692	5.51327e+06	3.93998e+06	5.77804	0.0366824	170.505	8.79403	56.5353	5.23246	0.624461	-8815328846251384062	0.00925111	42	0	12500	42	0.35718	0.6417	0.99888	1590114406984678955	True	True	True
376	376	0.001585	14	5	113.082	53.3943	185.918	9.27567	12787.6	46.3277	5663730	60.7672	5.36471	2850.95	2903.27	36.6446	204623	45636.7	64	8.13941e+06	6.02027e+06	9.17839	0.0265356	182.289	9.16226	57.1379	5.2513	1.22933	3338273222842280724	0.00872305	42	3	12500	65	0.37718	0.6213	0.99848	1590116329820477795	True	True	True
378	378	0.003162	16	2	101.041	65.7357	86.8252	8.84086	10209.4	589.273	2102030	30.2951	4.803	4321.19	1754.5	36.4505	221205	93639.3	86.6592	2.83611e+06	2.38546e+06	8.75886	0.0387255	83.5739	8.60862	27.0439	4.57076	22.8198	-5731590468595689123	0.00945622	42	3	12500	33	0.3489	0.6511	1	1590115435016683435	True	True	True
380	380	0.003162	8	2	76.7992	55.3021	79.0747	8.28725	5898.12	918.47	531030	28.1856	4.65231	3058.32	1004.22	36.9207	97411	50520.5	66.0479	767156	680373	16.253	0.0409624	75.8796	8.05903	24.9905	4.42409	37.6227	4533618513740012934	0.00954493	42	1	12500	49	0.3548	0.6452	1	1590114568966254336	True	True	True
381	381	0.00631	12	4	91.7437	44.7983	144.922	8.832	8416.91	27.5854	3171930	48.6931	5.13091	2006.89	1753.09	32.3664	126654	30215.1	60.18	4.0765e+06	2.94299e+06	4.1943	0.0426638	141.767	8.71068	45.5387	5.00958	1.1769	8799905969568142923	0.00941846	42	0	12500	20	0.34938	0.6503	0.99968	1590114392172339381	True	True	True
